Date,index,compound,BP
2003-06-15,1038.0,-0.3182,28.36691404645751
2003-06-16,1042.0,0.0,28.36691404645751
2003-06-17,1049.0,0.0,28.36691404645751
2003-06-18,1060.0,-0.6486,28.36691404645751
2003-06-19,1068.0,0.0,28.36691404645751
2003-06-20,1071.0,0.0,28.36691404645751
2003-06-21,1080.0,-0.8176,28.36691404645751
2003-06-22,1085.0,-0.6908,28.36691404645751
2003-06-23,1095.0,-0.7783,28.36691404645751
2003-06-24,1102.0,-0.29600000000000004,28.36691404645751
2003-06-25,1113.0,-0.6486,28.36691404645751
2003-06-26,1122.0,0.0,28.36691404645751
2003-06-27,1128.0,-0.4215,28.36691404645751
2003-06-28,1138.0,-0.6908,28.36691404645751
2003-06-29,1147.0,0.0,28.36691404645751
2003-06-30,1155.0,0.0772,28.36691404645751
2003-07-01,1166.0,-0.5859,28.36691404645751
2003-07-02,1174.0,-0.1531,28.36691404645751
2003-07-03,1182.0,0.0,28.36691404645751
2003-07-04,1194.0,0.4404,28.36691404645751
2003-07-05,1203.0,0.0,28.36691404645751
2003-07-06,1204.0,-0.7351,28.36691404645751
2003-07-07,1207.0,0.0,28.36691404645751
2003-07-08,1209.0,0.0,28.36691404645751
2003-07-09,1217.0,0.0,28.36691404645751
2003-07-10,1222.0,0.0,28.36691404645751
2003-07-11,1233.0,0.0,28.36691404645751
2003-07-12,1248.0,0.0,28.36691404645751
2003-07-13,1253.0,0.5719,28.36691404645751
2003-07-14,1257.0,0.0,28.36691404645751
2003-07-15,1265.0,0.0,28.36691404645751
2003-07-16,1273.0,0.4019,28.36691404645751
2003-07-17,1281.0,0.0,28.36691404645751
2003-07-18,1298.0,0.0,28.36691404645751
2003-07-19,1305.0,0.0,28.36691404645751
2003-07-20,1312.0,0.0,28.36691404645751
2003-07-21,1314.0,0.802,28.36691404645751
2003-07-22,1318.0,0.0,28.36691404645751
2003-07-23,1332.0,0.0,28.36691404645751
2003-07-24,1337.0,-0.3612,28.36691404645751
2003-07-25,1349.0,0.4404,28.36691404645751
2003-07-26,1366.0,0.0,28.36691404645751
2003-07-27,1374.0,-0.6486,28.36691404645751
2003-07-28,1377.0,-0.4019,28.36691404645751
2003-07-29,1383.0,0.3612,28.36691404645751
2003-07-30,1392.0,0.0,28.36691404645751
2003-07-31,1400.0,0.0,28.36691404645751
2003-08-01,1409.0,0.0,28.36691404645751
2003-08-02,1418.0,0.0,28.36691404645751
2003-08-03,1421.0,-0.7184,28.36691404645751
2003-08-04,1424.0,-0.6705,28.36691404645751
2003-08-05,1428.0,0.0,28.36691404645751
2003-08-06,1433.0,0.0,28.36691404645751
2003-08-07,1447.0,0.0,28.36691404645751
2003-08-08,1453.0,0.0,28.36691404645751
2003-08-09,1462.0,-0.3818,28.36691404645751
2003-08-10,1465.0,-0.5994,28.36691404645751
2003-08-11,1471.0,-0.7003,28.36691404645751
2003-08-12,1478.0,-0.4767,28.36691404645751
2003-08-13,1488.0,0.4588,28.36691404645751
2003-08-14,1501.0,-0.6705,18.079893
2003-08-15,1516.0,0.0,17.869173
2003-08-16,1524.0,-0.5994,17.869173
2003-08-17,1528.0,-0.1027,17.869173
2003-08-18,1532.0,0.0,17.9956
2003-08-19,1540.0,0.0,17.797520000000002
2003-08-20,1546.0,0.4019,17.886023
2003-08-21,1556.0,-0.7184,17.776445000000002
2003-08-22,1562.0,0.0,17.616308
2003-08-23,1568.0,0.0,17.616308
2003-08-24,1571.0,-0.34,17.616308
2003-08-25,1577.0,0.0,17.7048
2003-08-26,1598.0,0.0,17.565735
2003-08-27,1611.0,0.0,17.63315
2003-08-28,1623.0,-0.2732,17.784882999999997
2003-08-29,1632.0,-0.4404,17.582588
2003-08-30,1641.0,0.5106,17.582588
2003-08-31,1646.0,-0.8074,17.582588
2003-09-01,1649.0,0.0,17.582588
2003-09-02,1660.0,-0.6486,17.827023
2003-09-03,1667.0,0.0,18.071463
2003-09-04,1680.0,0.0,18.122028
2003-09-05,1691.0,0.5106,17.945026000000002
2003-09-06,1701.0,-0.6486,17.945026000000002
2003-09-07,1712.0,-0.5267,17.945026000000002
2003-09-08,1720.0,-0.5423,18.20632
2003-09-09,1732.0,-0.8225,18.01667
2003-09-10,1746.0,-0.6705,17.936604
2003-09-11,1756.0,-0.25,18.105175
2003-09-12,1764.0,0.4019,18.155748000000003
2003-09-13,1774.0,0.0,18.155748000000003
2003-09-14,1780.0,0.2023,18.155748000000003
2003-09-15,1782.0,0.0,18.067244
2003-09-16,1788.0,0.0,18.134674
2003-09-17,1799.0,0.0,17.974524
2003-09-18,1812.0,0.0,17.877589999999998
2003-09-19,1820.0,0.29600000000000004,17.793306
2003-09-20,1837.0,0.0,17.793306
2003-09-21,1844.0,0.0,17.793306
2003-09-22,1849.0,-0.0516,17.945026000000002
2003-09-23,1853.0,0.0,17.805951999999998
2003-09-24,1866.0,0.0,17.974524
2003-09-25,1871.0,0.0,18.084097
2003-09-26,1881.0,-0.7003,17.831229999999998
2003-09-27,1887.0,0.5106,17.831229999999998
2003-09-28,1893.0,0.0,17.831229999999998
2003-09-29,1897.0,0.0,17.70059
2003-09-30,1902.0,0.0,17.742731
2003-10-01,1910.0,0.0,18.185251
2003-10-02,1921.0,0.4767,18.029312
2003-10-03,1932.0,0.4019,18.362253
2003-10-04,1943.0,0.3182,18.362253
2003-10-05,1945.0,0.0,18.362253
2003-10-06,1947.0,0.0,18.400183
2003-10-07,1953.0,0.0,18.530832
2003-10-08,1964.0,0.4404,18.400183
2003-10-09,1973.0,-0.6908,18.425461
2003-10-10,1982.0,-0.2732,18.568764
2003-10-11,1993.0,0.128,18.568764
2003-10-12,1998.0,0.0,18.568764
2003-10-13,2003.0,0.4019,18.851124
2003-10-14,2008.0,0.0,18.615118
2003-10-15,2013.0,0.0,18.501326000000002
2003-10-16,2019.0,0.0,18.438114000000002
2003-10-17,2030.0,-0.5106,18.374891
2003-10-18,2038.0,-0.6908,18.374891
2003-10-19,2041.0,0.0,18.374891
2003-10-20,2043.0,0.0,18.324324
2003-10-21,2051.0,0.0,18.181034
2003-10-22,2057.0,-0.7269,18.079893
2003-10-23,2064.0,-0.5106,17.949238
2003-10-24,2077.0,0.0,18.04196
2003-10-25,2085.0,-0.7003,18.04196
2003-10-26,2096.0,0.4019,18.04196
2003-10-27,2101.0,0.4588,17.890238
2003-10-28,2111.0,-0.4939,17.797520000000002
2003-10-29,2124.0,-0.2732,17.805951999999998
2003-10-30,2137.0,0.0,17.574157999999997
2003-10-31,2150.0,0.5859,17.860737
2003-11-01,2162.0,-0.5423,17.860737
2003-11-02,2170.0,0.4588,17.860737
